ENSSSCG00000020823	BSCL2	ENSSSCT00000025488
ENSSSCG00000026000	NAN	ENSSSCT00000031787
ENSSSCG00000025986	EDARADD	ENSSSCT00000030665
ENSSSCG00000025330	NAN	ENSSSCT00000027017
ENSSSCG00000014282	IL4	ENSSSCT00000015605
ENSSSCG00000017668	VMP1	ENSSSCT00000019232
ENSSSCG00000026168	NAN	ENSSSCT00000027901
ENSSSCG00000003619	AZIN2	ENSSSCT00000004015
ENSSSCG00000014187	NUDT12	ENSSSCT00000015500
ENSSSCG00000000151	APOL6	ENSSSCT00000000159
ENSSSCG00000003756	LPAR3	ENSSSCT00000004158
ENSSSCG00000010861	ADCK3	ENSSSCT00000011883
ENSSSCG00000029454	NAN	ENSSSCT00000031315
ENSSSCG00000005948	TG	ENSSSCT00000036171,ENSSSCT00000006531,ENSSSCT00000035213
ENSSSCG00000022557	SUN3	ENSSSCT00000028453
ENSSSCG00000014295	C5orf15	ENSSSCT00000015618
ENSSSCG00000011504	EOGT	ENSSSCT00000012589
ENSSSCG00000029935	NAN	ENSSSCT00000027000
ENSSSCG00000016945	NAN	ENSSSCT00000018453
ENSSSCG00000012207	NAN	ENSSSCT00000013353
ENSSSCG00000029073	CACNB4	ENSSSCT00000023642
ENSSSCG00000026210	FCRL5	ENSSSCT00000022538,ENSSSCT00000029852
ENSSSCG00000024360	NAN	ENSSSCT00000027468
ENSSSCG00000024575	NAN	ENSSSCT00000022799
ENSSSCG00000000045	NAN	ENSSSCT00000000049
ENSSSCG00000024012	NAN	ENSSSCT00000017814
ENSSSCG00000016303	NAN	ENSSSCT00000017754
ENSSSCG00000017968	CNTROB	ENSSSCT00000019553
ENSSSCG00000022039	NAN	ENSSSCT00000005214
ENSSSCG00000020897	NAN	ENSSSCT00000027457
ENSSSCG00000023078	WDR4	ENSSSCT00000023709
ENSSSCG00000028327	NAN	ENSSSCT00000026831
ENSSSCG00000024450	NAN	ENSSSCT00000026112
ENSSSCG00000004517	CXXC1	ENSSSCT00000004989
ENSSSCG00000003371	GPR153	ENSSSCT00000028518,ENSSSCT00000003741
ENSSSCG00000001834	MFGE8	ENSSSCT00000002056
ENSSSCG00000014266	CDC42SE2	ENSSSCT00000015588
ENSSSCG00000000530	FGD4	ENSSSCT00000000572,ENSSSCT00000036458,ENSSSCT00000033918,ENSSSCT00000035951
ENSSSCG00000029226	UBC	ENSSSCT00000031057
ENSSSCG00000024825	RPL6	ENSSSCT00000024558
ENSSSCG00000014066	TMEM171	ENSSSCT00000015366
ENSSSCG00000020777	NAN	ENSSSCT00000024579
ENSSSCG00000026776	NAN	ENSSSCT00000023983
ENSSSCG00000029804	NAN	ENSSSCT00000025449
ENSSSCG00000005652	GLE1	ENSSSCT00000006215
ENSSSCG00000024518	NAN	ENSSSCT00000032413
ENSSSCG00000024353	NAN	ENSSSCT00000032278
ENSSSCG00000003780	CRYZ	ENSSSCT00000004183
ENSSSCG00000007439	CDH22	ENSSSCT00000008143
ENSSSCG00000011794	SENP2	ENSSSCT00000024072,ENSSSCT00000012906,ENSSSCT00000029102
ENSSSCG00000002857	TDRD12	ENSSSCT00000028980,ENSSSCT00000003158
ENSSSCG00000017516	SP2	ENSSSCT00000019070
ENSSSCG00000002511	NAN	ENSSSCT00000002789
ENSSSCG00000014093	CRHBP	ENSSSCT00000015394
ENSSSCG00000011249	NAN	ENSSSCT00000012316
ENSSSCG00000007922	NAN	ENSSSCT00000008682,ENSSSCT00000008683
ENSSSCG00000017089	ANXA6	ENSSSCT00000018606
ENSSSCG00000015077	RNF214	ENSSSCT00000016443
ENSSSCG00000010048	RAB36	ENSSSCT00000011009
ENSSSCG00000007968	RHBDF1	ENSSSCT00000036396,ENSSSCT00000008731
ENSSSCG00000017259	PRKAR1A	ENSSSCT00000018788
ENSSSCG00000012220	NAN	ENSSSCT00000013366
ENSSSCG00000011205	EFHB	ENSSSCT00000012271
ENSSSCG00000025921	TMEM41A	ENSSSCT00000024417
ENSSSCG00000004571	NAN	ENSSSCT00000005050
ENSSSCG00000003875	TTC39A	ENSSSCT00000004287
ENSSSCG00000020849	NAN	ENSSSCT00000023602
ENSSSCG00000024945	NAN	ENSSSCT00000025943
ENSSSCG00000030058	ANXA10	ENSSSCT00000028014,ENSSSCT00000028371
ENSSSCG00000000918	EPYC	ENSSSCT00000001002
ENSSSCG00000006767	MAGI3	ENSSSCT00000007413
ENSSSCG00000005324	FAM221B	ENSSSCT00000005863
ENSSSCG00000005180	NAN	ENSSSCT00000005711
ENSSSCG00000030715	NAN	ENSSSCT00000036494
ENSSSCG00000011186	COL6A5	ENSSSCT00000012249
ENSSSCG00000026402	NAN	ENSSSCT00000031665
ENSSSCG00000001925	ADPGK	ENSSSCT00000002154
ENSSSCG00000005389	TEX10	ENSSSCT00000005932
ENSSSCG00000009237	HPSE	ENSSSCT00000010116
ENSSSCG00000021650	NAN	ENSSSCT00000024086
ENSSSCG00000029964	NAN	ENSSSCT00000030438
ENSSSCG00000012926	PC	ENSSSCT00000014129
ENSSSCG00000029816	NAN	ENSSSCT00000031646
ENSSSCG00000023718	NAN	ENSSSCT00000025327
ENSSSCG00000015335	DYNC1I1	ENSSSCT00000016708
ENSSSCG00000021235	NAN	ENSSSCT00000026017
ENSSSCG00000026307	NAN	ENSSSCT00000026544
ENSSSCG00000025238	SHOX2	ENSSSCT00000025053
ENSSSCG00000006955	GSDMD	ENSSSCT00000007620
ENSSSCG00000000758	NAN	ENSSSCT00000000822
ENSSSCG00000024704	NAN	ENSSSCT00000027906
ENSSSCG00000025371	NAN	ENSSSCT00000024325
ENSSSCG00000027785	NAN	ENSSSCT00000025937
ENSSSCG00000009922	NAN	ENSSSCT00000010873
ENSSSCG00000007565	TTYH3	ENSSSCT00000008297
ENSSSCG00000024905	NAN	ENSSSCT00000031343
ENSSSCG00000002090	NAN	ENSSSCT00000002337
ENSSSCG00000022756	NAN	ENSSSCT00000024388
ENSSSCG00000025355	ZNF146	ENSSSCT00000024653
ENSSSCG00000021886	NAN	ENSSSCT00000029677
ENSSSCG00000017592	MBTD1	ENSSSCT00000019153
ENSSSCG00000002292	PLEKHH1	ENSSSCT00000002553
ENSSSCG00000027068	NAN	ENSSSCT00000024301
ENSSSCG00000003676	NAN	ENSSSCT00000004073
ENSSSCG00000006985	MTMR7	ENSSSCT00000007650
ENSSSCG00000009931	MVK	ENSSSCT00000010883
ENSSSCG00000022228	NAN	ENSSSCT00000027062,ENSSSCT00000027770
ENSSSCG00000028642	NAN	ENSSSCT00000031207
ENSSSCG00000014767	OR51D1	ENSSSCT00000016118
ENSSSCG00000025128	CPN2	ENSSSCT00000024687
ENSSSCG00000009011	FHDC1	ENSSSCT00000009868
ENSSSCG00000029830	RPL8	ENSSSCT00000033747,ENSSSCT00000034343,ENSSSCT00000031015,ENSSSCT00000033716,ENSSSCT00000035195,ENSSSCT00000034872,ENSSSCT00000034388,ENSSSCT00000033850,ENSSSCT00000035638,ENSSSCT00000035903,ENSSSCT00000036648
ENSSSCG00000015874	ACVR1	ENSSSCT00000017285
ENSSSCG00000010210	SLC16A9	ENSSSCT00000011176
ENSSSCG00000028004	NAN	ENSSSCT00000031435
ENSSSCG00000006174	JPH1	ENSSSCT00000006768
ENSSSCG00000022950	NAN	ENSSSCT00000024052
ENSSSCG00000025102	NAN	ENSSSCT00000032228
ENSSSCG00000029003	NAN	ENSSSCT00000030834
ENSSSCG00000006988	PDGFRL	ENSSSCT00000007653
ENSSSCG00000013835	CASP14	ENSSSCT00000015113
ENSSSCG00000016219	RESP18	ENSSSCT00000017660
ENSSSCG00000021095	NAN	ENSSSCT00000022691
ENSSSCG00000025167	NAN	ENSSSCT00000022707
ENSSSCG00000000668	APOBEC1	ENSSSCT00000000724
ENSSSCG00000000153	ISX	ENSSSCT00000000161
ENSSSCG00000002431	NAN	ENSSSCT00000002701
ENSSSCG00000014099	OTP	ENSSSCT00000015401
ENSSSCG00000001778	BCL2A1	ENSSSCT00000001993
ENSSSCG00000030620	NAN	ENSSSCT00000027381
ENSSSCG00000014845	NAN	ENSSSCT00000016197
ENSSSCG00000014942	NAN	ENSSSCT00000016300
ENSSSCG00000029115	NAN	ENSSSCT00000029248
ENSSSCG00000022164	HSF2BP	ENSSSCT00000025735
ENSSSCG00000017195	TRIM65	ENSSSCT00000018720
ENSSSCG00000022666	NAN	ENSSSCT00000023025
ENSSSCG00000012443	CYSLTR1	ENSSSCT00000013608
ENSSSCG00000003042	NAN	ENSSSCT00000003379
ENSSSCG00000003558	RPS6KA1	ENSSSCT00000003952
ENSSSCG00000023478	NAN	ENSSSCT00000032258
ENSSSCG00000011082	COMMD3	ENSSSCT00000012129
ENSSSCG00000020699	NAN	ENSSSCT00000029443
ENSSSCG00000023261	GDF5	ENSSSCT00000030265
ENSSSCG00000024095	NAN	ENSSSCT00000031162
ENSSSCG00000023716	TNFAIP6	ENSSSCT00000025487
ENSSSCG00000001453	SLA-DRA	ENSSSCT00000001609
ENSSSCG00000001036	TFAP2A	ENSSSCT00000001129
ENSSSCG00000011491	THOC7	ENSSSCT00000012574
ENSSSCG00000016298	INPP5D	ENSSSCT00000017748
ENSSSCG00000008819	NAN	ENSSSCT00000030883,ENSSSCT00000009649
ENSSSCG00000008706	NAN	ENSSSCT00000009525
ENSSSCG00000007510	C20orf85	ENSSSCT00000008225
ENSSSCG00000008010	CHTF18	ENSSSCT00000031631,ENSSSCT00000008778
ENSSSCG00000012828	STARD8	ENSSSCT00000014022
ENSSSCG00000025004	NAN	ENSSSCT00000031841
ENSSSCG00000029005	KPNA2	ENSSSCT00000022690
ENSSSCG00000009477	EDNRB	ENSSSCT00000010390
ENSSSCG00000001993	TGM1	ENSSSCT00000002231,ENSSSCT00000035836,ENSSSCT00000033123
ENSSSCG00000024007	NAN	ENSSSCT00000029293
ENSSSCG00000007529	SYCP2	ENSSSCT00000035266,ENSSSCT00000008259,ENSSSCT00000036024,ENSSSCT00000035707
ENSSSCG00000007100	SLC24A3	ENSSSCT00000007772,ENSSSCT00000024048,ENSSSCT00000028523
ENSSSCG00000022306	ROPN1L	ENSSSCT00000022727
ENSSSCG00000012572	COL4A5	ENSSSCT00000013747
ENSSSCG00000022861	SS18L1	ENSSSCT00000027264,ENSSSCT00000031123
ENSSSCG00000008113	MRPS5	ENSSSCT00000008889
ENSSSCG00000012317	GSPT2	ENSSSCT00000013468,ENSSSCT00000035398,ENSSSCT00000032845,ENSSSCT00000036146
ENSSSCG00000029429	LEFTY2	ENSSSCT00000011879
ENSSSCG00000009528	NAN	ENSSSCT00000010446
ENSSSCG00000005459	KIAA0368	ENSSSCT00000006004
ENSSSCG00000027558	NAN	ENSSSCT00000025444
ENSSSCG00000025538	KIAA1257	ENSSSCT00000027292
ENSSSCG00000011797	TBCCD1	ENSSSCT00000012909
ENSSSCG00000025048	NAN	ENSSSCT00000002884
ENSSSCG00000029821	NAN	ENSSSCT00000026894
ENSSSCG00000009919	HNF1A	ENSSSCT00000010869,ENSSSCT00000010870
ENSSSCG00000012895	NAN	ENSSSCT00000014098
ENSSSCG00000030984	GYPC	ENSSSCT00000035793
ENSSSCG00000014930	NAN	ENSSSCT00000016287
ENSSSCG00000030411	NAN	ENSSSCT00000002586
ENSSSCG00000011269	MYRIP	ENSSSCT00000012337
ENSSSCG00000023173	REXO4	ENSSSCT00000028732
ENSSSCG00000011549	OGG1	ENSSSCT00000012639
ENSSSCG00000024072	P2RY11	ENSSSCT00000028035
ENSSSCG00000026755	KLF15	ENSSSCT00000024644
ENSSSCG00000023255	MOSPD3	ENSSSCT00000026611
ENSSSCG00000002134	NAN	ENSSSCT00000002387
ENSSSCG00000029465	NAN	ENSSSCT00000031907
ENSSSCG00000010533	NAN	ENSSSCT00000011523
ENSSSCG00000003719	KCTD1	ENSSSCT00000031750,ENSSSCT00000004119
ENSSSCG00000022773	NAN	ENSSSCT00000026535
ENSSSCG00000015948	DYNC1I2	ENSSSCT00000017365
ENSSSCG00000023386	NAN	ENSSSCT00000029312
ENSSSCG00000012967	FOSL1	ENSSSCT00000014174
ENSSSCG00000030179	NAN	ENSSSCT00000023284
ENSSSCG00000029339	SPATA2L	ENSSSCT00000027799
ENSSSCG00000028445	ZNF691	ENSSSCT00000030239
ENSSSCG00000009351	MAB21L1	ENSSSCT00000010248
ENSSSCG00000026406	NAN	ENSSSCT00000031426
ENSSSCG00000020886	NAN	ENSSSCT00000024771
ENSSSCG00000030877	FRMPD4	ENSSSCT00000034697
ENSSSCG00000013436	NAN	ENSSSCT00000014680
ENSSSCG00000029943	NAN	ENSSSCT00000027726
ENSSSCG00000030483	NAN	ENSSSCT00000024021
ENSSSCG00000000801	NAN	ENSSSCT00000000868
ENSSSCG00000027684	TRIM63	ENSSSCT00000028044
ENSSSCG00000009842	CCDC60	ENSSSCT00000010786
ENSSSCG00000030020	NAN	ENSSSCT00000031915
ENSSSCG00000001702	SLC35B2	ENSSSCT00000001902
ENSSSCG00000027596	IGHE	ENSSSCT00000028511
ENSSSCG00000022041	NAN	ENSSSCT00000024524
ENSSSCG00000015581	CENPF	ENSSSCT00000016974
ENSSSCG00000003331	TNFRSF4	ENSSSCT00000003698
ENSSSCG00000022577	NAN	ENSSSCT00000024208
ENSSSCG00000029170	ZNF566	ENSSSCT00000003242
ENSSSCG00000029749	NAN	ENSSSCT00000030217
ENSSSCG00000006745	CASQ2	ENSSSCT00000007390
ENSSSCG00000016195	NAN	ENSSSCT00000017636
ENSSSCG00000010690	SEC23IP	ENSSSCT00000011691
ENSSSCG00000026123	IGFBP2	ENSSSCT00000025060
ENSSSCG00000003454	KAZN	ENSSSCT00000003835
ENSSSCG00000029628	NAN	ENSSSCT00000022517
ENSSSCG00000027150	NAN	ENSSSCT00000023070
ENSSSCG00000014798	ART5	ENSSSCT00000016149
ENSSSCG00000013742	NAN	ENSSSCT00000015016
ENSSSCG00000013613	ELOF1	ENSSSCT00000014868
ENSSSCG00000022856	NTRK2	ENSSSCT00000022743,ENSSSCT00000025074
ENSSSCG00000021755	NAN	ENSSSCT00000031557
ENSSSCG00000021450	SDR42E1	ENSSSCT00000025649
ENSSSCG00000003503	VWA5B1	ENSSSCT00000003892
ENSSSCG00000030420	GLG1	ENSSSCT00000030720
ENSSSCG00000004033	AGPAT4	ENSSSCT00000004461
ENSSSCG00000005106	NTRK3	ENSSSCT00000005628
ENSSSCG00000025373	NAN	ENSSSCT00000032526
ENSSSCG00000025719	ANAPC11	ENSSSCT00000029667
ENSSSCG00000007955	CLUAP1	ENSSSCT00000029019,ENSSSCT00000008718
ENSSSCG00000009542	TNFSF13B	ENSSSCT00000010460
ENSSSCG00000012440	PGK1	ENSSSCT00000013604,ENSSSCT00000034653,ENSSSCT00000035138,ENSSSCT00000036442,ENSSSCT00000036148,ENSSSCT00000035596,ENSSSCT00000036102,ENSSSCT00000035257,ENSSSCT00000035171,ENSSSCT00000032952
ENSSSCG00000010239	RUFY2	ENSSSCT00000011206
ENSSSCG00000022379	NAN	ENSSSCT00000024006
ENSSSCG00000021808	TEX38	ENSSSCT00000031736
ENSSSCG00000005020	NAN	ENSSSCT00000005536
ENSSSCG00000005839	FBXW5	ENSSSCT00000006418
ENSSSCG00000001988	ADCY4	ENSSSCT00000002224
ENSSSCG00000002622	TMEM14A	ENSSSCT00000002909
ENSSSCG00000007767	ZNF668	ENSSSCT00000008514
ENSSSCG00000004074	OPRM1	ENSSSCT00000004503
ENSSSCG00000030415	NAN	ENSSSCT00000023883
ENSSSCG00000025834	FNDC5	ENSSSCT00000024523
ENSSSCG00000003067	NAN	ENSSSCT00000003404,ENSSSCT00000031768
ENSSSCG00000006544	UBE2Q1	ENSSSCT00000007169
ENSSSCG00000013260	NAN	ENSSSCT00000014484
ENSSSCG00000027950	NAN	ENSSSCT00000016069
ENSSSCG00000029783	MKX	ENSSSCT00000028322,ENSSSCT00000027486
ENSSSCG00000028378	PHF20	ENSSSCT00000031797
ENSSSCG00000022904	NAN	ENSSSCT00000023908
ENSSSCG00000011530	CRBN	ENSSSCT00000012620
ENSSSCG00000010084	NAN	ENSSSCT00000011045
ENSSSCG00000007187	NSFL1C	ENSSSCT00000007863
ENSSSCG00000004104	KATNA1	ENSSSCT00000004539
ENSSSCG00000003995	ZNF606	ENSSSCT00000004418
ENSSSCG00000022977	NAN	ENSSSCT00000029016
ENSSSCG00000009063	NDUFC1	ENSSSCT00000009928
ENSSSCG00000022188	NAN	ENSSSCT00000031845
ENSSSCG00000028684	NAN	ENSSSCT00000030493
ENSSSCG00000000082	CACNA1I	ENSSSCT00000000088
ENSSSCG00000008121	GPAT2	ENSSSCT00000032292,ENSSSCT00000008897
ENSSSCG00000021178	NAN	ENSSSCT00000001759
ENSSSCG00000022755	NAN	ENSSSCT00000031161
ENSSSCG00000014751	OR51G2	ENSSSCT00000016102
ENSSSCG00000001636	GUCA1A	ENSSSCT00000001820
ENSSSCG00000030113	SHISA2	ENSSSCT00000028975
ENSSSCG00000027855	SOCS1	ENSSSCT00000029636
ENSSSCG00000003985	NAN	ENSSSCT00000004407
ENSSSCG00000028746	NAN	ENSSSCT00000025808
ENSSSCG00000002445	TRIP11	ENSSSCT00000002715
ENSSSCG00000026860	ASPHD1	ENSSSCT00000029196
ENSSSCG00000030572	NAN	ENSSSCT00000025286,ENSSSCT00000023737
ENSSSCG00000003132	KDELR1	ENSSSCT00000003473
ENSSSCG00000026898	NAN	ENSSSCT00000031242
ENSSSCG00000004446	RWDD1	ENSSSCT00000004911
ENSSSCG00000013566	NAN	ENSSSCT00000014817
ENSSSCG00000003798	SERBP1	ENSSSCT00000004203
ENSSSCG00000001905	NAN	ENSSSCT00000002134
ENSSSCG00000000862	NAN	ENSSSCT00000028915,ENSSSCT00000000941
ENSSSCG00000007563	BRAT1	ENSSSCT00000008295
ENSSSCG00000008119	KCNIP3	ENSSSCT00000008895
ENSSSCG00000022738	NAN	ENSSSCT00000031227
ENSSSCG00000022416	NAN	ENSSSCT00000024043
ENSSSCG00000010954	C9orf153	ENSSSCT00000011989
ENSSSCG00000023512	SLC36A1	ENSSSCT00000031121
ENSSSCG00000026747	NAN	ENSSSCT00000029977
ENSSSCG00000014745	OR52J3	ENSSSCT00000016096
ENSSSCG00000014277	IRF1	ENSSSCT00000015600
ENSSSCG00000015634	NAN	ENSSSCT00000017029
ENSSSCG00000029004	NAN	ENSSSCT00000029741
ENSSSCG00000017095	SEMA5A	ENSSSCT00000018613
ENSSSCG00000028420	EIF4E	ENSSSCT00000032198
ENSSSCG00000013078	MYRF	ENSSSCT00000014296
ENSSSCG00000013509	CHAF1A	ENSSSCT00000014756
ENSSSCG00000029976	NAN	ENSSSCT00000030627
ENSSSCG00000009337	NAN	ENSSSCT00000010233
ENSSSCG00000021012	NAN	ENSSSCT00000022610
ENSSSCG00000015426	RELN	ENSSSCT00000016805
ENSSSCG00000001772	ANKRD34C	ENSSSCT00000001987
ENSSSCG00000015493	SERPINC1	ENSSSCT00000016877
ENSSSCG00000025672	RAVER2	ENSSSCT00000022489
ENSSSCG00000025121	NAN	ENSSSCT00000024246
ENSSSCG00000021179	NAN	ENSSSCT00000024002
ENSSSCG00000015789	SNX25	ENSSSCT00000017192
ENSSSCG00000004731	VPS39	ENSSSCT00000005227
ENSSSCG00000029760	CIPC	ENSSSCT00000026096
ENSSSCG00000001434	EGFL8	ENSSSCT00000033165,ENSSSCT00000001582,ENSSSCT00000033379,ENSSSCT00000034208
ENSSSCG00000006197	SULF1	ENSSSCT00000006792
ENSSSCG00000009082	NAN	ENSSSCT00000009948
ENSSSCG00000005664	LRRC8A	ENSSSCT00000006227
ENSSSCG00000027324	NAN	ENSSSCT00000023704
ENSSSCG00000020690	NAN	ENSSSCT00000032304
ENSSSCG00000021330	NAN	ENSSSCT00000026099
ENSSSCG00000002142	TEP1	ENSSSCT00000002396
ENSSSCG00000021736	NAN	ENSSSCT00000022973
ENSSSCG00000016376	PPP1R7	ENSSSCT00000017831
ENSSSCG00000008087	IL1B2	ENSSSCT00000008860
ENSSSCG00000011331	NAN	ENSSSCT00000012407
ENSSSCG00000006877	NAN	ENSSSCT00000007531
ENSSSCG00000003760	TTLL7	ENSSSCT00000022348,ENSSSCT00000004162
ENSSSCG00000024808	NAN	ENSSSCT00000006380
ENSSSCG00000014999	KBTBD3	ENSSSCT00000016363
ENSSSCG00000022906	CH242-204P3.4	ENSSSCT00000034956,ENSSSCT00000032460,ENSSSCT00000034058,ENSSSCT00000034021
ENSSSCG00000023477	NAN	ENSSSCT00000025095
ENSSSCG00000025265	NAN	ENSSSCT00000023392
ENSSSCG00000022056	GPR37L1	ENSSSCT00000032457
ENSSSCG00000006331	PBX1	ENSSSCT00000006939
ENSSSCG00000026539	NAN	ENSSSCT00000025654
ENSSSCG00000000789	CNTN1	ENSSSCT00000000855,ENSSSCT00000036262,ENSSSCT00000034945
ENSSSCG00000005228	KCNV2	ENSSSCT00000005762
ENSSSCG00000023897	NAN	ENSSSCT00000026115
ENSSSCG00000013842	NAN	ENSSSCT00000015120
ENSSSCG00000029136	NAN	ENSSSCT00000032363
ENSSSCG00000012031	CLDN17	ENSSSCT00000013163
ENSSSCG00000013110	TMEM109	ENSSSCT00000014330
ENSSSCG00000025824	NAN	ENSSSCT00000029267
ENSSSCG00000018045	NAN	ENSSSCT00000035940,ENSSSCT00000036404,ENSSSCT00000034408,ENSSSCT00000019640
ENSSSCG00000003302	TMEM86B	ENSSSCT00000003666
ENSSSCG00000028891	NAN	ENSSSCT00000029476
ENSSSCG00000028996	ALDH1A1	ENSSSCT00000027607
ENSSSCG00000005911	NAN	ENSSSCT00000006491
ENSSSCG00000026868	LRRC15	ENSSSCT00000023428
ENSSSCG00000001831	NAN	ENSSSCT00000002051
ENSSSCG00000028127	NAN	ENSSSCT00000024869
ENSSSCG00000024540	NAN	ENSSSCT00000027675,ENSSSCT00000029375
ENSSSCG00000015767	SPATA4	ENSSSCT00000017168
ENSSSCG00000006641	PRUNE	ENSSSCT00000007277
ENSSSCG00000009885	NAN	ENSSSCT00000010835
ENSSSCG00000003312	NLRP4	ENSSSCT00000003676,ENSSSCT00000033753
ENSSSCG00000022090	NAN	ENSSSCT00000007574
ENSSSCG00000017636	LPO	ENSSSCT00000019198,ENSSSCT00000032747
ENSSSCG00000026579	NAN	ENSSSCT00000024993
ENSSSCG00000022114	MS4A14	ENSSSCT00000030463
ENSSSCG00000003979	ZNF684	ENSSSCT00000004401,ENSSSCT00000027325
ENSSSCG00000007248	ASXL1	ENSSSCT00000007930
ENSSSCG00000016543	EXOC4	ENSSSCT00000018013
ENSSSCG00000009868	RBM19	ENSSSCT00000010816
ENSSSCG00000007282	PIGU	ENSSSCT00000007967
ENSSSCG00000027274	NAN	ENSSSCT00000030275
ENSSSCG00000003343	NAN	ENSSSCT00000003712
ENSSSCG00000024466	NAN	ENSSSCT00000027103
ENSSSCG00000027474	NAN	ENSSSCT00000029215
ENSSSCG00000014004	PLPP2	ENSSSCT00000015296,ENSSSCT00000015297
ENSSSCG00000017700	CCL3L1	ENSSSCT00000019266
ENSSSCG00000012623	SLC25A6	ENSSSCT00000013802,ENSSSCT00000033053
ENSSSCG00000029462	NAN	ENSSSCT00000022553
ENSSSCG00000011011	IFNK	ENSSSCT00000012053
ENSSSCG00000002745	NAN	ENSSSCT00000003042
ENSSSCG00000025448	SERTAD3	ENSSSCT00000030673
ENSSSCG00000007788	PHKG2	ENSSSCT00000008536
ENSSSCG00000007125	NAN	ENSSSCT00000007797
ENSSSCG00000015586	RPS6KC1	ENSSSCT00000016979
ENSSSCG00000002968	NAN	ENSSSCT00000003292
ENSSSCG00000021280	NAN	ENSSSCT00000031912
ENSSSCG00000017812	VPS53	ENSSSCT00000019386
ENSSSCG00000025996	NAN	ENSSSCT00000024217
ENSSSCG00000015286	DSTYK	ENSSSCT00000016657
ENSSSCG00000009304	NAN	ENSSSCT00000010192
ENSSSCG00000008758	SLC34A2	ENSSSCT00000009582
ENSSSCG00000000608	NAN	ENSSSCT00000000654
ENSSSCG00000002908	ZBTB32	ENSSSCT00000003213
ENSSSCG00000007803	TUFM	ENSSSCT00000008551
ENSSSCG00000007977	HBM	ENSSSCT00000008740
ENSSSCG00000028367	NAN	ENSSSCT00000030538
ENSSSCG00000013750	CACNA1A	ENSSSCT00000015024
ENSSSCG00000023167	MFHAS1	ENSSSCT00000028777
ENSSSCG00000004261	NAN	ENSSSCT00000004710
ENSSSCG00000028992	NAN	ENSSSCT00000025051
ENSSSCG00000021668	KRT31	ENSSSCT00000028977
ENSSSCG00000024693	MRPL17	ENSSSCT00000026864
ENSSSCG00000012520	BHLHB9	ENSSSCT00000033368,ENSSSCT00000032669,ENSSSCT00000013689
ENSSSCG00000029337	NAN	ENSSSCT00000028667
ENSSSCG00000002263	SLCO3A1	ENSSSCT00000002520
ENSSSCG00000026510	NAN	ENSSSCT00000029796
ENSSSCG00000021764	NAN	ENSSSCT00000030948,ENSSSCT00000025328
ENSSSCG00000029990	DEFB1	ENSSSCT00000031972
ENSSSCG00000014790	NAN	ENSSSCT00000016141
ENSSSCG00000015814	TACC1	ENSSSCT00000017222
ENSSSCG00000009317	CDX2	ENSSSCT00000010207
ENSSSCG00000010808	RGS18	ENSSSCT00000011824
ENSSSCG00000026264	HSPB11	ENSSSCT00000031201
ENSSSCG00000027831	NOP10	ENSSSCT00000024362
ENSSSCG00000031060	DEFB113	ENSSSCT00000035057
ENSSSCG00000011738	WDR49	ENSSSCT00000012849
ENSSSCG00000013775	ADGRE5	ENSSSCT00000015050,ENSSSCT00000035977,ENSSSCT00000034807,ENSSSCT00000036462,ENSSSCT00000034597,ENSSSCT00000034444
ENSSSCG00000012969	FIBP	ENSSSCT00000014176
ENSSSCG00000015543	CACNA1E	ENSSSCT00000016932
ENSSSCG00000015477	CHIT1	ENSSSCT00000016860
ENSSSCG00000016499	RAB19	ENSSSCT00000017963
ENSSSCG00000030596	HES2	ENSSSCT00000003743
ENSSSCG00000016315	NAN	ENSSSCT00000017768
ENSSSCG00000002314	NAN	ENSSSCT00000002576
ENSSSCG00000025411	NAN	ENSSSCT00000024286
ENSSSCG00000026589	NAN	ENSSSCT00000024708
ENSSSCG00000017532	HOXB1	ENSSSCT00000019086
ENSSSCG00000012088	NAN	ENSSSCT00000013222
ENSSSCG00000002041	SLC7A7	ENSSSCT00000002284
ENSSSCG00000001049	HIVEP1	ENSSSCT00000001143
ENSSSCG00000005173	NAN	ENSSSCT00000005703
ENSSSCG00000023941	CLRN2	ENSSSCT00000024457
ENSSSCG00000012909	PTPRCAP	ENSSSCT00000014112
ENSSSCG00000027632	NAN	ENSSSCT00000018999
ENSSSCG00000003190	ADM5	ENSSSCT00000003545
ENSSSCG00000015675	NAN	ENSSSCT00000017074
ENSSSCG00000023268	NAN	ENSSSCT00000022252
ENSSSCG00000003554	SEPN1	ENSSSCT00000003948
ENSSSCG00000011344	NAN	ENSSSCT00000012421
ENSSSCG00000021742	NAN	ENSSSCT00000026922
ENSSSCG00000001075	DEK	ENSSSCT00000001170
ENSSSCG00000022353	RAP1GDS1	ENSSSCT00000026710
ENSSSCG00000007085	DSTN	ENSSSCT00000007757
ENSSSCG00000016782	FAM105A	ENSSSCT00000018269
ENSSSCG00000002141	NAN	ENSSSCT00000002395
ENSSSCG00000010739	CTBP2	ENSSSCT00000011751
ENSSSCG00000013086	CYB561A3	ENSSSCT00000014304
ENSSSCG00000017114	NDUFS6	ENSSSCT00000018632
ENSSSCG00000004311	NAN	ENSSSCT00000004766
ENSSSCG00000006479	NAN	ENSSSCT00000007096,ENSSSCT00000007097
ENSSSCG00000003802	SLC35D1	ENSSSCT00000004207
ENSSSCG00000013263	CREB3L1	ENSSSCT00000014487
ENSSSCG00000021853	NAN	ENSSSCT00000002421
