ENSOCUG00000017200	PDZD4	ENSOCUT00000017201
ENSOCUG00000017297	WBSCR22	ENSOCUT00000033465,ENSOCUT00000017295
ENSOCUG00000026847	NAN	ENSOCUT00000021913
ENSOCUG00000009573	C18orf25	ENSOCUT00000009574
ENSOCUG00000015749	RPS4X	ENSOCUT00000015749
ENSOCUG00000025955	NAN	ENSOCUT00000025107
ENSOCUG00000006861	PPP2R2B	ENSOCUT00000023773
ENSOCUG00000024869	NAN	ENSOCUT00000022929
ENSOCUG00000012486	CYP27B1	ENSOCUT00000012487
ENSOCUG00000005050	ZNF566	ENSOCUT00000005047
ENSOCUG00000024245	ANKRD39	ENSOCUT00000027266
ENSOCUG00000024204	NAN	ENSOCUT00000027439
ENSOCUG00000003847	NAN	ENSOCUT00000003850
ENSOCUG00000004229	TIGIT	ENSOCUT00000004226
ENSOCUG00000014412	ERLEC1	ENSOCUT00000023069
ENSOCUG00000022079	NAN	ENSOCUT00000022532
ENSOCUG00000015267	GPX8	ENSOCUT00000015262
ENSOCUG00000021476	NAN	ENSOCUT00000026565
ENSOCUG00000005644	PSMD5	ENSOCUT00000005644
ENSOCUG00000000553	TCEAL1	ENSOCUT00000000550
ENSOCUG00000009085	ACTR8	ENSOCUT00000027528
ENSOCUG00000021439	RPL22	ENSOCUT00000028925
ENSOCUG00000008681	SLC39A14	ENSOCUT00000008678
ENSOCUG00000029575	HLCS	ENSOCUT00000033347
ENSOCUG00000013050	SYF2	ENSOCUT00000013047
ENSOCUG00000001751	RND3	ENSOCUT00000001750
ENSOCUG00000012497	CDCP2	ENSOCUT00000012496
ENSOCUG00000021824	NAN	ENSOCUT00000013813
ENSOCUG00000004398	DCSTAMP	ENSOCUT00000004395
ENSOCUG00000001250	ednrA	ENSOCUT00000001249
ENSOCUG00000015679	TRIM10	ENSOCUT00000015675
ENSOCUG00000000911	TBC1D16	ENSOCUT00000000911
ENSOCUG00000015176	HOXC10	ENSOCUT00000030266
ENSOCUG00000023465	MOB2	ENSOCUT00000030236
ENSOCUG00000014137	NAALAD2	ENSOCUT00000014140
ENSOCUG00000023831	NAN	ENSOCUT00000008987
ENSOCUG00000006535	PPP3CC	ENSOCUT00000006541
ENSOCUG00000013561	GFM1	ENSOCUT00000013564
ENSOCUG00000002305	ZNF750	ENSOCUT00000002302
ENSOCUG00000009184	CTHRC1	ENSOCUT00000031537,ENSOCUT00000009183
ENSOCUG00000025498	SYNDIG1	ENSOCUT00000021908
ENSOCUG00000022954	NFE2	ENSOCUT00000023062
ENSOCUG00000014658	NAN	ENSOCUT00000014653
ENSOCUG00000014100	NAN	ENSOCUT00000014102
ENSOCUG00000002445	HP1BP3	ENSOCUT00000002445
ENSOCUG00000026020	NAN	ENSOCUT00000025491
ENSOCUG00000015599	GEMIN6	ENSOCUT00000015588
ENSOCUG00000026650	NAN	ENSOCUT00000026135
ENSOCUG00000000278	RTF1	ENSOCUT00000023335
ENSOCUG00000014422	HIST1H1C	ENSOCUT00000014418
ENSOCUG00000025434	NAN	ENSOCUT00000031445
ENSOCUG00000010331	FAM92A1	ENSOCUT00000034145,ENSOCUT00000010329
ENSOCUG00000009095	COMTD1	ENSOCUT00000009093
ENSOCUG00000000651	LDLR	ENSOCUT00000000653
ENSOCUG00000003976	GOLGA1	ENSOCUT00000003977
ENSOCUG00000005831	RPN2	ENSOCUT00000005833
ENSOCUG00000003240	IRX5	ENSOCUT00000003246
ENSOCUG00000004837	GUCD1	ENSOCUT00000004837
ENSOCUG00000025483	NAN	ENSOCUT00000021392
ENSOCUG00000012799	SLC17A7	ENSOCUT00000012801
ENSOCUG00000005642	NAN	ENSOCUT00000005642
ENSOCUG00000002725	SPATA20	ENSOCUT00000027851
ENSOCUG00000005496	SLC7A9	ENSOCUT00000005496
ENSOCUG00000023865	NAN	ENSOCUT00000026020
ENSOCUG00000015222	SLC9C2	ENSOCUT00000015245,ENSOCUT00000015264
ENSOCUG00000015537	ATP5H	ENSOCUT00000015533
ENSOCUG00000012673	SMARCB1	ENSOCUT00000012671
ENSOCUG00000017308	FLOT1	ENSOCUT00000017309
ENSOCUG00000014317	PIGR	ENSOCUT00000014326
ENSOCUG00000012241	NAN	ENSOCUT00000012242
ENSOCUG00000010902	MTERF1	ENSOCUT00000010898
ENSOCUG00000023779	NAN	ENSOCUT00000030372
ENSOCUG00000013528	VAX1	ENSOCUT00000013528
ENSOCUG00000006654	MZT1	ENSOCUT00000006654
ENSOCUG00000007534	EIF3H	ENSOCUT00000007535
ENSOCUG00000013211	SPRTN	ENSOCUT00000025835
ENSOCUG00000008785	IGF2R	ENSOCUT00000023385
ENSOCUG00000023263	NDUFA4L2	ENSOCUT00000028353
ENSOCUG00000007168	NAN	ENSOCUT00000007168
ENSOCUG00000025701	CRHR1	ENSOCUT00000033533,ENSOCUT00000025599
ENSOCUG00000004421	DSN1	ENSOCUT00000004422
ENSOCUG00000012324	ALPK2	ENSOCUT00000012325
ENSOCUG00000000006	INPP1	ENSOCUT00000000007
ENSOCUG00000025601	RGS11	ENSOCUT00000028746
ENSOCUG00000011928	KCNJ10	ENSOCUT00000011926
ENSOCUG00000000120	ADCYAP1R1	ENSOCUT00000031135
ENSOCUG00000014076	DGKB	ENSOCUT00000014084
ENSOCUG00000025279	C9orf152	ENSOCUT00000029988
ENSOCUG00000007847	GLYCTK	ENSOCUT00000007846,ENSOCUT00000033847
ENSOCUG00000009610	CUL4A	ENSOCUT00000009611
ENSOCUG00000015921	ASB13	ENSOCUT00000015920
ENSOCUG00000027900	NAN	ENSOCUT00000023825
ENSOCUG00000012173	MEF2D	ENSOCUT00000012173
ENSOCUG00000009453	LRRC46	ENSOCUT00000009453
ENSOCUG00000000927	ADAMTSL4	ENSOCUT00000000927
ENSOCUG00000029128	CLEC12A	ENSOCUT00000033931
ENSOCUG00000029620	NAN	ENSOCUT00000033380
ENSOCUG00000012718	NAN	ENSOCUT00000012715
ENSOCUG00000000897	PRKAA1	ENSOCUT00000000897
ENSOCUG00000022502	TRMT61A	ENSOCUT00000032020
ENSOCUG00000023032	NPC1L1	ENSOCUT00000030314
ENSOCUG00000000539	KCNMB1	ENSOCUT00000000539
ENSOCUG00000000022	YARS2	ENSOCUT00000000022
ENSOCUG00000009979	DDHD2	ENSOCUT00000028067
ENSOCUG00000022656	NAN	ENSOCUT00000032137
ENSOCUG00000027492	NAN	ENSOCUT00000023742
ENSOCUG00000002930	MMP20	ENSOCUT00000002930
ENSOCUG00000004611	ARHGEF7	ENSOCUT00000004616
ENSOCUG00000016821	MCRS1	ENSOCUT00000023372,ENSOCUT00000016824
ENSOCUG00000000787	PTPRO	ENSOCUT00000000789
ENSOCUG00000017437	ADCK1	ENSOCUT00000017437
ENSOCUG00000024592	NAN	ENSOCUT00000032080
ENSOCUG00000000527	DPYSL4	ENSOCUT00000000528
ENSOCUG00000022551	ARTN	ENSOCUT00000022945
ENSOCUG00000023853	NAN	ENSOCUT00000025981
ENSOCUG00000014984	POLR2C	ENSOCUT00000014982
ENSOCUG00000011366	NAN	ENSOCUT00000011363
ENSOCUG00000026569	NAN	ENSOCUT00000025882
ENSOCUG00000027266	KCTD21	ENSOCUT00000030103
ENSOCUG00000020917	PIK3AP1	ENSOCUT00000027240
ENSOCUG00000001937	ARHGEF2	ENSOCUT00000001939
ENSOCUG00000009597	CEL	ENSOCUT00000025183
ENSOCUG00000009405	NAN	ENSOCUT00000033845,ENSOCUT00000009406
ENSOCUG00000016706	KIF11	ENSOCUT00000016710
ENSOCUG00000002271	RBM3	ENSOCUT00000002271
ENSOCUG00000006859	NAN	ENSOCUT00000006855
ENSOCUG00000014099	KCTD9	ENSOCUT00000014098
ENSOCUG00000017400	POP1	ENSOCUT00000017402
ENSOCUG00000007845	ADCK4	ENSOCUT00000007844
ENSOCUG00000014613	SSUH2	ENSOCUT00000014612
ENSOCUG00000017300	HPGDS	ENSOCUT00000017297
ENSOCUG00000016717	INIP	ENSOCUT00000016719
ENSOCUG00000016437	IL21R	ENSOCUT00000016437
ENSOCUG00000001965	DYRK4	ENSOCUT00000001963
ENSOCUG00000017576	ARRDC1	ENSOCUT00000017575
ENSOCUG00000025208	NAN	ENSOCUT00000029508
ENSOCUG00000003731	TTC32	ENSOCUT00000003730
ENSOCUG00000012769	TSC22D1	ENSOCUT00000025664
ENSOCUG00000009939	MYPN	ENSOCUT00000009940
ENSOCUG00000006006	SLC28A1	ENSOCUT00000006009
ENSOCUG00000001984	LIMD1	ENSOCUT00000006914
ENSOCUG00000025657	SLC6A1	ENSOCUT00000023201
ENSOCUG00000011838	NAN	ENSOCUT00000011838
ENSOCUG00000009209	PADI4	ENSOCUT00000030760
ENSOCUG00000024195	NAN	ENSOCUT00000028849
ENSOCUG00000013255	DNAJC7	ENSOCUT00000013257
ENSOCUG00000010198	Tpm2	ENSOCUT00000022879
ENSOCUG00000001716	PFKFB1	ENSOCUT00000001716
ENSOCUG00000005664	GNPAT	ENSOCUT00000005666
ENSOCUG00000015690	MRPL45	ENSOCUT00000015688
ENSOCUG00000009987	NAN	ENSOCUT00000009987
ENSOCUG00000011817	FBLIM1	ENSOCUT00000011816
ENSOCUG00000029532	EHD1	ENSOCUT00000033509
ENSOCUG00000013301	NICN1	ENSOCUT00000013299
ENSOCUG00000008423	ZNF282	ENSOCUT00000021965
ENSOCUG00000001001	NMI	ENSOCUT00000001001
ENSOCUG00000027674	NAN	ENSOCUT00000024807
ENSOCUG00000015386	FBXW4	ENSOCUT00000015387
ENSOCUG00000026488	ORYCUNV1R1532	ENSOCUT00000025415
ENSOCUG00000001193	NAN	ENSOCUT00000001193
ENSOCUG00000024989	NAN	ENSOCUT00000021129,ENSOCUT00000028602
ENSOCUG00000011320	SIRT4	ENSOCUT00000011320
ENSOCUG00000001641	BMP15	ENSOCUT00000001641
ENSOCUG00000017290	NAN	ENSOCUT00000017287
ENSOCUG00000027702	ORYCUNV1R1639	ENSOCUT00000029418
ENSOCUG00000002021	HAX1	ENSOCUT00000002020
ENSOCUG00000014515	CAV2	ENSOCUT00000014511
ENSOCUG00000026456	NAN	ENSOCUT00000029360
ENSOCUG00000013365	NAN	ENSOCUT00000013362
ENSOCUG00000021929	CCRL2	ENSOCUT00000024768
ENSOCUG00000002785	KCNB2	ENSOCUT00000002788
ENSOCUG00000007414	NAP1L2	ENSOCUT00000007413
ENSOCUG00000011982	PHACTR1	ENSOCUT00000026423
ENSOCUG00000017098	C6orf163	ENSOCUT00000017094
ENSOCUG00000017687	KITLG	ENSOCUT00000017686
ENSOCUG00000013931	LEPROTL1	ENSOCUT00000013933
ENSOCUG00000016167	OCRL	ENSOCUT00000023355
ENSOCUG00000022492	CSK	ENSOCUT00000030712
ENSOCUG00000026953	SDAD1	ENSOCUT00000009384
ENSOCUG00000020963	NAN	ENSOCUT00000031101
ENSOCUG00000008395	PEBP1	ENSOCUT00000008392
ENSOCUG00000021773	NAN	ENSOCUT00000023728
ENSOCUG00000005017	IP6K1	ENSOCUT00000031813,ENSOCUT00000005016
ENSOCUG00000001156	HOXC13	ENSOCUT00000001156
ENSOCUG00000022996	NAN	ENSOCUT00000028323
ENSOCUG00000027796	NAN	ENSOCUT00000024197
ENSOCUG00000024013	NAN	ENSOCUT00000028024
ENSOCUG00000022627	NAN	ENSOCUT00000002255
ENSOCUG00000027000	PPCS	ENSOCUT00000022670
ENSOCUG00000007204	SLC39A5	ENSOCUT00000007202
ENSOCUG00000021477	NAN	ENSOCUT00000026380
ENSOCUG00000025577	NAN	ENSOCUT00000023359
ENSOCUG00000003898	IPO5	ENSOCUT00000003904
ENSOCUG00000025103	NAN	ENSOCUT00000028055
ENSOCUG00000012555	NAN	ENSOCUT00000012550
ENSOCUG00000025438	NAN	ENSOCUT00000032156
ENSOCUG00000024024	NAN	ENSOCUT00000026457
ENSOCUG00000013120	PHC3	ENSOCUT00000013124
ENSOCUG00000013875	NAN	ENSOCUT00000013873
ENSOCUG00000022306	NAN	ENSOCUT00000030951
ENSOCUG00000023770	ABHD15	ENSOCUT00000023716
ENSOCUG00000016516	THAP7	ENSOCUT00000016513
ENSOCUG00000015914	PRRC2C	ENSOCUT00000015941
ENSOCUG00000012916	P3H3	ENSOCUT00000012922
ENSOCUG00000029037	SPN	ENSOCUT00000033079
ENSOCUG00000014356	E2F3	ENSOCUT00000014356
ENSOCUG00000011106	NAN	ENSOCUT00000011103
ENSOCUG00000017715	DALRD3	ENSOCUT00000017715,ENSOCUT00000024906
ENSOCUG00000008431	ZNF746	ENSOCUT00000008430,ENSOCUT00000033234
ENSOCUG00000007580	RAB30	ENSOCUT00000007577
ENSOCUG00000009752	NAN	ENSOCUT00000009749
ENSOCUG00000005045	SYNE2	ENSOCUT00000005073
ENSOCUG00000021853	SCML1	ENSOCUT00000027746
ENSOCUG00000005947	SCEL	ENSOCUT00000005953
ENSOCUG00000022686	FBXO46	ENSOCUT00000031567,ENSOCUT00000021498
ENSOCUG00000029691	NAN	ENSOCUT00000033930
ENSOCUG00000007320	NAN	ENSOCUT00000007318
ENSOCUG00000000437	DTL	ENSOCUT00000033296,ENSOCUT00000000436
ENSOCUG00000004849	POGZ	ENSOCUT00000004851
ENSOCUG00000007526	CTH	ENSOCUT00000007528
ENSOCUG00000005543	ZNF292	ENSOCUT00000005545
ENSOCUG00000017038	GNGT1	ENSOCUT00000017033
ENSOCUG00000016720	SZT2	ENSOCUT00000026028
ENSOCUG00000016062	DUSP3	ENSOCUT00000016055
ENSOCUG00000023496	NAN	ENSOCUT00000003224
ENSOCUG00000001987	RGS7BP	ENSOCUT00000001985
ENSOCUG00000008651	ITM2A	ENSOCUT00000008650
ENSOCUG00000012268	C1orf141	ENSOCUT00000026897
ENSOCUG00000027248	PCP2	ENSOCUT00000026865
ENSOCUG00000016488	VAPB	ENSOCUT00000016484
ENSOCUG00000026021	NAN	ENSOCUT00000008079
ENSOCUG00000022942	ZXDC	ENSOCUT00000024800
ENSOCUG00000006446	CBR4	ENSOCUT00000006442
ENSOCUG00000023901	NAN	ENSOCUT00000006480
ENSOCUG00000012398	SLC30A1	ENSOCUT00000012393
ENSOCUG00000003423	SDR9C7	ENSOCUT00000003420
ENSOCUG00000025595	RHBDD3	ENSOCUT00000030985
ENSOCUG00000002822	EFNB3	ENSOCUT00000002822
ENSOCUG00000024168	NAN	ENSOCUT00000029745
ENSOCUG00000023093	HOXB5	ENSOCUT00000022829
ENSOCUG00000022101	NAN	ENSOCUT00000021617
ENSOCUG00000025015	EDAR	ENSOCUT00000030758
ENSOCUG00000006460	AGBL4	ENSOCUT00000006463
ENSOCUG00000007513	HACD3	ENSOCUT00000007514
ENSOCUG00000029752	NAN	ENSOCUT00000033909
ENSOCUG00000023096	HPX	ENSOCUT00000024253
ENSOCUG00000024414	NAN	ENSOCUT00000030413
ENSOCUG00000001855	CD3E	ENSOCUT00000024291
ENSOCUG00000013716	MAPK3	ENSOCUT00000013714
ENSOCUG00000004278	ROBO2	ENSOCUT00000029598,ENSOCUT00000004282
ENSOCUG00000004332	MYRIP	ENSOCUT00000004334
ENSOCUG00000009251	TBC1D25	ENSOCUT00000009252
ENSOCUG00000011538	IGFN1	ENSOCUT00000011538
ENSOCUG00000001004	OLFR651_1	ENSOCUT00000001004
ENSOCUG00000012272	PRRX1	ENSOCUT00000012269
ENSOCUG00000014159	KDSR	ENSOCUT00000014160
ENSOCUG00000003388	SCARB2	ENSOCUT00000003388
ENSOCUG00000004639	SLC39A9	ENSOCUT00000004639
ENSOCUG00000012054	LMTK3	ENSOCUT00000025635
ENSOCUG00000014009	SLC17A4	ENSOCUT00000014007
ENSOCUG00000016634	ZNF576	ENSOCUT00000016625
ENSOCUG00000023929	REN	ENSOCUT00000027290
ENSOCUG00000023594	NAN	ENSOCUT00000028760
ENSOCUG00000000483	CAPN9	ENSOCUT00000000483
ENSOCUG00000023616	NAN	ENSOCUT00000032136
ENSOCUG00000005316	MAPKAPK3	ENSOCUT00000005316,ENSOCUT00000021063
ENSOCUG00000006707	TACR2	ENSOCUT00000026968
ENSOCUG00000002683	TUFM	ENSOCUT00000002684
ENSOCUG00000026398	NAN	ENSOCUT00000027830
ENSOCUG00000015365	CSRP2BP	ENSOCUT00000015365
ENSOCUG00000009854	NEK4	ENSOCUT00000009858
ENSOCUG00000011301	FAM167A	ENSOCUT00000011295
ENSOCUG00000004999	RNF123	ENSOCUT00000025453
ENSOCUG00000003649	TMIGD1	ENSOCUT00000003647
ENSOCUG00000025086	NDUFB7	ENSOCUT00000031881
ENSOCUG00000017451	NAN	ENSOCUT00000017448
ENSOCUG00000013877	ZMYM5	ENSOCUT00000013876
ENSOCUG00000027895	NAN	ENSOCUT00000030697
ENSOCUG00000014251	WDR31	ENSOCUT00000014253
ENSOCUG00000011634	SMPD3	ENSOCUT00000011635
ENSOCUG00000005709	PGM2L1	ENSOCUT00000005712
ENSOCUG00000000460	NLRP14	ENSOCUT00000000460
ENSOCUG00000014532	DDX52	ENSOCUT00000014536
ENSOCUG00000016666	HNRNPUL1	ENSOCUT00000016671
ENSOCUG00000015871	ELAVL1	ENSOCUT00000015866
ENSOCUG00000012392	MYL3	ENSOCUT00000012390
ENSOCUG00000023867	FSCN2	ENSOCUT00000026736
ENSOCUG00000015750	UBA5	ENSOCUT00000015754
ENSOCUG00000010871	DNALI1	ENSOCUT00000031364,ENSOCUT00000010871
ENSOCUG00000013957	LGALSL	ENSOCUT00000013950
ENSOCUG00000010808	HINFP	ENSOCUT00000010809
ENSOCUG00000008796	FAM46A	ENSOCUT00000008794
ENSOCUG00000007901	SEMA6D	ENSOCUT00000007907
ENSOCUG00000025992	NAN	ENSOCUT00000029929
ENSOCUG00000009931	OSGIN2	ENSOCUT00000009928
ENSOCUG00000001824	TLR1	ENSOCUT00000001824
ENSOCUG00000004640	ZRANB2	ENSOCUT00000004641
ENSOCUG00000016808	HSDL2	ENSOCUT00000016808
ENSOCUG00000029466	ZMYM6NB	ENSOCUT00000033937
ENSOCUG00000016490	CATSPER1	ENSOCUT00000016495
ENSOCUG00000000798	H6PD	ENSOCUT00000000799
ENSOCUG00000011418	STRN3	ENSOCUT00000028026,ENSOCUT00000011420
ENSOCUG00000007313	CREB3L2	ENSOCUT00000007313
ENSOCUG00000008812	POF1B	ENSOCUT00000008814
ENSOCUG00000025290	CHGA	ENSOCUT00000022548
ENSOCUG00000027516	NAN	ENSOCUT00000025807
ENSOCUG00000016268	RCN1	ENSOCUT00000016263
ENSOCUG00000007471	NAN	ENSOCUT00000007469
ENSOCUG00000024910	ZNHIT2	ENSOCUT00000023907
ENSOCUG00000024312	OLFR605	ENSOCUT00000021053
ENSOCUG00000027097	NAN	ENSOCUT00000030902
ENSOCUG00000007131	FAM187B	ENSOCUT00000007129
ENSOCUG00000009877	NAN	ENSOCUT00000009878
ENSOCUG00000002186	NAN	ENSOCUT00000002186
ENSOCUG00000016806	GLCCI1	ENSOCUT00000016803
ENSOCUG00000027561	NAN	ENSOCUT00000024002
ENSOCUG00000002599	UQCRFS1	ENSOCUT00000002597
ENSOCUG00000003042	PPP2R4	ENSOCUT00000021358
ENSOCUG00000022090	SPATC1	ENSOCUT00000024675
ENSOCUG00000014718	NOS1	ENSOCUT00000031823
ENSOCUG00000001532	LMO2	ENSOCUT00000001532
ENSOCUG00000016276	GPR180	ENSOCUT00000016279
ENSOCUG00000014185	STIM2	ENSOCUT00000014185
ENSOCUG00000029019	FZD8	ENSOCUT00000033058
ENSOCUG00000006811	NLGN3	ENSOCUT00000022206
ENSOCUG00000001830	DOK6	ENSOCUT00000001829
ENSOCUG00000025812	NAN	ENSOCUT00000022068
ENSOCUG00000010918	FER	ENSOCUT00000010922
ENSOCUG00000003396	MED29	ENSOCUT00000003393
ENSOCUG00000026298	NAN	ENSOCUT00000030848
ENSOCUG00000011606	SLC35E4	ENSOCUT00000011605
ENSOCUG00000002660	FAM26E	ENSOCUT00000002657
ENSOCUG00000001026	PPM1F	ENSOCUT00000001026
ENSOCUG00000003393	SLCO6A1	ENSOCUT00000003395
ENSOCUG00000024139	TRA2A	ENSOCUT00000022727
ENSOCUG00000021750	NAN	ENSOCUT00000013235
ENSOCUG00000002707	MID1IP1	ENSOCUT00000002704
ENSOCUG00000029071	ZNF81	ENSOCUT00000032987
ENSOCUG00000016491	KIF14	ENSOCUT00000016502
ENSOCUG00000012032	IDNK	ENSOCUT00000012028
ENSOCUG00000013847	TCP1	ENSOCUT00000028488
ENSOCUG00000000681	NAN	ENSOCUT00000000680
ENSOCUG00000023993	NAN	ENSOCUT00000026782
ENSOCUG00000011635	ACAD9	ENSOCUT00000011642
ENSOCUG00000001515	CCL19	ENSOCUT00000001515
ENSOCUG00000014488	KHDC3L	ENSOCUT00000014481
ENSOCUG00000021536	BOK	ENSOCUT00000025500
ENSOCUG00000022449	LEPROT	ENSOCUT00000027692
ENSOCUG00000003690	HEATR6	ENSOCUT00000003692
ENSOCUG00000011539	HAO1	ENSOCUT00000011536
ENSOCUG00000015113	MTSS1L	ENSOCUT00000015120
ENSOCUG00000003174	FARP1	ENSOCUT00000033680,ENSOCUT00000003177
ENSOCUG00000001519	RTN4RL1	ENSOCUT00000001518
ENSOCUG00000023391	NAN	ENSOCUT00000022242
ENSOCUG00000016494	KBTBD12	ENSOCUT00000033984,ENSOCUT00000016490
ENSOCUG00000016111	ANKEF1	ENSOCUT00000016109
ENSOCUG00000002024	SFTPC	ENSOCUT00000002023
ENSOCUG00000002310	TNFAIP3	ENSOCUT00000002309,ENSOCUT00000027469
ENSOCUG00000005507	GNA14	ENSOCUT00000005506
ENSOCUG00000011142	SMC3	ENSOCUT00000011146
ENSOCUG00000011590	RXRB	ENSOCUT00000027334
ENSOCUG00000025420	EID2B	ENSOCUT00000021999
ENSOCUG00000026613	NAN	ENSOCUT00000023939
ENSOCUG00000015523	C11orf63	ENSOCUT00000015520
ENSOCUG00000011429	NREP	ENSOCUT00000011426
ENSOCUG00000000720	OXA1L	ENSOCUT00000000719
ENSOCUG00000008947	MARCKSL1	ENSOCUT00000008951
ENSOCUG00000014882	MRPL49	ENSOCUT00000014880
ENSOCUG00000027251	C1orf54	ENSOCUT00000030554
ENSOCUG00000012671	NAN	ENSOCUT00000012665
ENSOCUG00000008823	P2RX7	ENSOCUT00000008825
ENSOCUG00000001868	IKBKAP	ENSOCUT00000001874
ENSOCUG00000025201	NAN	ENSOCUT00000029892
ENSOCUG00000008462	TOM1L1	ENSOCUT00000008461
ENSOCUG00000009093	CCDC178	ENSOCUT00000009095
ENSOCUG00000008317	PLCL2	ENSOCUT00000008316
ENSOCUG00000006747	DNAH7	ENSOCUT00000006759
ENSOCUG00000026528	NAN	ENSOCUT00000027122
ENSOCUG00000026247	NAN	ENSOCUT00000017068
ENSOCUG00000015117	NAN	ENSOCUT00000015111
ENSOCUG00000012792	THNSL1	ENSOCUT00000012793
ENSOCUG00000023856	NAN	ENSOCUT00000021413
ENSOCUG00000007566	ACTA1	ENSOCUT00000004074
ENSOCUG00000026831	NAN	ENSOCUT00000028862
ENSOCUG00000009556	SRFBP1	ENSOCUT00000034076,ENSOCUT00000009555
ENSOCUG00000027885	RPUSD3	ENSOCUT00000030850
ENSOCUG00000013327	FAM175A	ENSOCUT00000013327
ENSOCUG00000007823	SGPP2	ENSOCUT00000007821
ENSOCUG00000006755	NAN	ENSOCUT00000006753
ENSOCUG00000029455	NAN	ENSOCUT00000033280
ENSOCUG00000021331	ZNHIT3	ENSOCUT00000030433
ENSOCUG00000026951	NAN	ENSOCUT00000021519
ENSOCUG00000002373	KLHDC9	ENSOCUT00000002374
ENSOCUG00000007978	NRP2	ENSOCUT00000007983
ENSOCUG00000021968	EIF1AD	ENSOCUT00000024061
ENSOCUG00000002362	MED7	ENSOCUT00000002360
ENSOCUG00000009271	HTR1B	ENSOCUT00000009269
ENSOCUG00000004429	TRIM38	ENSOCUT00000004428
ENSOCUG00000025632	NAN	ENSOCUT00000024254
ENSOCUG00000016649	SDR42E1	ENSOCUT00000016640
ENSOCUG00000000181	GPR39	ENSOCUT00000000181
ENSOCUG00000027364	ORYCUNV1R1667	ENSOCUT00000028304
ENSOCUG00000026470	CYB561	ENSOCUT00000025034
ENSOCUG00000006694	LTA	ENSOCUT00000006691
ENSOCUG00000001117	CDKL4	ENSOCUT00000023969,ENSOCUT00000001117
ENSOCUG00000007512	S100A7L2	ENSOCUT00000007510
ENSOCUG00000008964	HOXD10	ENSOCUT00000008964
ENSOCUG00000000248	NAN	ENSOCUT00000031222
ENSOCUG00000022725	NAN	ENSOCUT00000021566
ENSOCUG00000002352	USF1	ENSOCUT00000002352
ENSOCUG00000003303	CD83	ENSOCUT00000003302
ENSOCUG00000017694	KRT23	ENSOCUT00000017693
ENSOCUG00000002880	OPALIN	ENSOCUT00000002876
ENSOCUG00000013569	SPATA4	ENSOCUT00000013569
ENSOCUG00000007542	AMBP	ENSOCUT00000007540,ENSOCUT00000026114
ENSOCUG00000001378	PROKR2	ENSOCUT00000001377
ENSOCUG00000016680	NAN	ENSOCUT00000016681
ENSOCUG00000000657	KCNH1	ENSOCUT00000000658
ENSOCUG00000013389	EPYC	ENSOCUT00000013387
ENSOCUG00000017503	TOE1	ENSOCUT00000017501
ENSOCUG00000001347	NAN	ENSOCUT00000001347
ENSOCUG00000004801	C1QBP	ENSOCUT00000004798
ENSOCUG00000017749	C16orf87	ENSOCUT00000017746
ENSOCUG00000016654	GFRAL	ENSOCUT00000026397,ENSOCUT00000016652
ENSOCUG00000011906	ALDH3A2	ENSOCUT00000011904
ENSOCUG00000011593	DCP1B	ENSOCUT00000011594
ENSOCUG00000008450	UPF3A	ENSOCUT00000008454
ENSOCUG00000011747	ZDHHC15	ENSOCUT00000011748
ENSOCUG00000022750	NAN	ENSOCUT00000006241
ENSOCUG00000013832	CHP1	ENSOCUT00000013828
ENSOCUG00000008288	ECM2	ENSOCUT00000008293
ENSOCUG00000009754	LRRC6	ENSOCUT00000009754
ENSOCUG00000006348	PSMB10	ENSOCUT00000006348
ENSOCUG00000001742	CASP8AP2	ENSOCUT00000001743
ENSOCUG00000024362	SPTSSA	ENSOCUT00000024444
ENSOCUG00000017195	SEL1L3	ENSOCUT00000017208
ENSOCUG00000011039	PFKP	ENSOCUT00000011042,ENSOCUT00000033728
ENSOCUG00000014305	FCMR	ENSOCUT00000014305
ENSOCUG00000009364	NAN	ENSOCUT00000009360
ENSOCUG00000004795	UFM1	ENSOCUT00000004795
ENSOCUG00000010372	NAN	ENSOCUT00000010379
ENSOCUG00000004624	SYT10	ENSOCUT00000004629
ENSOCUG00000027733	PGAM5	ENSOCUT00000026921
ENSOCUG00000016631	FAM221B	ENSOCUT00000016623
ENSOCUG00000017727	NAN	ENSOCUT00000017726
ENSOCUG00000001088	PBDC1	ENSOCUT00000001087
ENSOCUG00000001097	CGRRF1	ENSOCUT00000001097
ENSOCUG00000010186	MSTO1	ENSOCUT00000010184
ENSOCUG00000029025	CSTA	ENSOCUT00000032980
ENSOCUG00000011117	NAN	ENSOCUT00000011118
ENSOCUG00000006645	KIF6	ENSOCUT00000006646
ENSOCUG00000012458	FUT9	ENSOCUT00000012449
ENSOCUG00000005112	FBXO32	ENSOCUT00000005113
ENSOCUG00000000429	MPHOSPH8	ENSOCUT00000000430
ENSOCUG00000022013	NAN	ENSOCUT00000024310
ENSOCUG00000023872	NAN	ENSOCUT00000017729
ENSOCUG00000029388	NAN	ENSOCUT00000027178
ENSOCUG00000022876	TMEM106A	ENSOCUT00000030013
ENSOCUG00000006020	PHEX	ENSOCUT00000006025
ENSOCUG00000016887	UPK1A	ENSOCUT00000016884
ENSOCUG00000016500	DRAM1	ENSOCUT00000016493
ENSOCUG00000024040	NAN	ENSOCUT00000024799
ENSOCUG00000006502	SEPT10	ENSOCUT00000006502
